row_id,site,building,area_type,area_id,area_number,area_name,floor,floor_description,task_id,task_seq,task_name,shift,frequency_raw,freq_count,freq_period,text_truncated
R00001,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0001,1,Clean all refrigerators and empty content per site specific directions in accordance to clearly posted schedules,Day,As Needed,,As Needed,FALSE
R00002,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0002,2,Clean all refrigerators and empty content per site specific directions in accordance to clearly posted schedules,Graveyard,As Needed,,As Needed,FALSE
R00003,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0003,3,Clean all refrigerators and empty content per site specific directions in accordance to clearly posted schedules,Swing,As Needed,,As Needed,FALSE
R00004,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0004,4,"Disinfect all handles, keypads, and buttons on equipment",Day,2X Daily,2,Daily,FALSE
R00005,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0005,5,"Disinfect all handles, keypads, and buttons on equipment",Graveyard,2X Daily,2,Daily,FALSE
R00006,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0006,6,"Disinfect all handles, keypads, and buttons on equipment",Swing,2X Daily,2,Daily,FALSE
R00007,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0007,7,Empty trash receptacles/trash trucks and replace with a clean liner (where applicable),Day,3X Daily,3,Daily,FALSE
R00008,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0008,8,Empty trash receptacles/trash trucks and replace with a clean liner (where applicable),Graveyard,3X Daily,3,Daily,FALSE
R00009,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0009,9,Empty trash receptacles/trash trucks and replace with a clean liner (where applicable),Swing,3X Daily,3,Daily,FALSE
R00010,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0010,10,"Keep all floor mats substantially free of dirt, stains, and debris",Day,1X Daily,1,Daily,FALSE
R00011,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0011,11,"Keep all floor mats substantially free of dirt, stains, and debris",Graveyard,1X Daily,1,Daily,FALSE
R00012,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0012,12,"Keep all floor mats substantially free of dirt, stains, and debris",Swing,1X Daily,1,Daily,FALSE
R00013,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0013,13,"Keep all mirrors, glass partitions, doors, and shelves free of streaks, smudges, spots, and dust",Day,1X Daily,1,Daily,FALSE
R00014,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0014,14,"Keep all vending machines, microwaves, and refrigerators substantially free of dirt, dust, debris, and odors",Day,1X Daily,1,Daily,FALSE
R00015,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0015,15,"Keep all vending machines, microwaves, and refrigerators substantially free of dirt, dust, debris, and odors",Graveyard,1X Daily,1,Daily,FALSE
R00016,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0016,16,"Keep all vending machines, microwaves, and refrigerators substantially free of dirt, dust, debris, and odors",Swing,1X Daily,1,Daily,FALSE
R00017,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0017,17,Keep surfaces beneath all mats clean and free of debris,Day,1X Daily,1,Daily,FALSE
R00018,"Delta LGA - LaGuardia, NY",Concourse D,Break Rooms,D-001,D1-110,Endeavor Air,1,Below Wing,T0018,18,"Keep tile, including grout lines, and concrete/terrazzo floors clean with minor controllable spots, stains, dirt, scuff mar",Day,1X Daily,1,Daily,TRUE
