area_type,building,floor,area,shift,service_type,expected_count,frequency_unit
Baggage Carousels,All Buildings,,All,Day,Any Service,2,Daily
Baggage Carousels,All Buildings,,All,Swing,Any Service,1,Daily
Baggage Carousels,All Buildings,,All,Graveyard,Any Service,1,Daily
Baggage Checks,All Buildings,,All,Day,Any Service,2,Daily
Baggage Checks,All Buildings,,All,Swing,Any Service,2,Daily
Baggage Checks,All Buildings,,All,Graveyard,Any Service,1,Daily
Baggage Checks,Headhouse,2 (Ticketing),Delta Sky Priority,Day,Any Service,3,Daily
Baggage Checks,Headhouse,2 (Ticketing),Delta Sky Priority,Swing,Any Service,2,Daily
Baggage Checks,Headhouse,2 (Ticketing),Delta Sky Priority,Graveyard,Any Service,1,Daily
Conference Rooms,All Buildings,,All,Day,Any Service,1,Daily
Conference Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Conference Rooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Break Rooms,All Buildings,,All,Day,Any Service,1,Daily
Break Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Break Rooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Baggage Claims,All Buildings,,All,Day,Any Service,2,Daily
Baggage Claims,All Buildings,,All,Swing,Any Service,1,Daily
Baggage Claims,All Buildings,,All,Graveyard,Any Service,1,Daily
Corridors (Passenger),All Buildings,,All,Day,Any Service,4,Daily
Corridors (Passenger),All Buildings,,All,Swing,Any Service,3,Daily
Corridors (Passenger),All Buildings,,All,Graveyard,Any Service,3,Daily
Corridors (Passenger),Headhouse,,All,Day,Any Service,3,Daily
Corridors (Passenger),Headhouse,,All,Swing,Any Service,2,Daily
Corridors (Passenger),Headhouse,,All,Graveyard,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.1,Day,Any Service,3,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.1,Swing,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.1,Graveyard,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.2,Day,Any Service,3,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.2,Swing,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.2,Graveyard,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.3,Day,Any Service,3,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.3,Swing,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.3,Graveyard,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.4,Day,Any Service,3,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.4,Swing,Any Service,2,Daily
Corridors (Passenger),Headhouse,1 (Arrivals),HH 1.4,Graveyard,Any Service,2,Daily
Elevator Lobby,All Buildings,,All,Day,Any Service,2,Daily
Elevator Lobby,All Buildings,,All,Swing,Any Service,2,Daily
Elevator Lobby,All Buildings,,All,Graveyard,Any Service,1,Daily
Elevators (Passenger),All Buildings,,All,Day,Any Service,2,Daily
Elevators (Passenger),All Buildings,,All,Swing,Any Service,2,Daily
Elevators (Passenger),All Buildings,,All,Graveyard,Any Service,1,Daily
Elevators (Passenger),Pavillion,,All,Day,Any Service,1,Daily
Elevators (Passenger),Pavillion,,All,Swing,Any Service,1,Daily
Elevators (Passenger),Pavillion,,All,Graveyard,Any Service,1,Daily
Escalators,All Buildings,,All,Day,Any Service,2,Daily
Escalators,All Buildings,,All,Swing,Any Service,2,Daily
Escalators,All Buildings,,All,Graveyard,Any Service,1,Daily
Escalators,Concourse F,,All,Day,Any Service,4,Daily
Escalators,Concourse F,,All,Swing,Any Service,4,Daily
Escalators,Concourse F,,All,Graveyard,Any Service,2,Daily
Escalators,Concourse D,,All,Day,Any Service,5,Daily
Escalators,Concourse D,,All,Swing,Any Service,2,Daily
Escalators,Concourse D,,All,Graveyard,Any Service,1,Daily
Fire Stairwells,All Buildings,,All,Day,Any Service,1,Daily
Fire Stairwells,All Buildings,,All,Swing,Any Service,1,Daily
Fire Stairwells,Mainline,,All,Day,Any Service,1,Daily
Fire Stairwells,Mainline,,All,Swing,Any Service,1,Daily
Fire Stairwells,Mainline,,All,Graveyard,Any Service,1,Daily
Fire Stairwells,Concourse F,,All,Graveyard,Any Service,1,Daily
Fire Stairwells,Concourse E,,All,Graveyard,Any Service,1,Daily
Fire Stairwells,Concourse D,,All,Graveyard,Any Service,1,Daily
Fitness Areas,All Buildings,,All,Day,Any Service,1,Daily
Fitness Areas,All Buildings,,All,Swing,Any Service,1,Daily
Fitness Areas,All Buildings,,All,Graveyard,Any Service,1,Daily
Janitorial Closets,All Buildings,,All,Day,Any Service,1,Daily
Janitorial Closets,All Buildings,,All,Swing,Any Service,1,Daily
Janitorial Closets,All Buildings,,All,Graveyard,Any Service,1,Daily
Help Desk,All Buildings,,All,Day,Any Service,2,Daily
Help Desk,All Buildings,,All,Swing,Any Service,2,Daily
Help Desk,All Buildings,,All,Graveyard,Any Service,1,Daily
Help Desk,Concourse F,,All,Day,Any Service,3,Daily
Help Desk,Concourse F,,All,Swing,Any Service,3,Daily
Help Desk,Concourse F,,All,Graveyard,Any Service,1,Daily
Gates,All Buildings,,All,Day,Any Service,4,Daily
Gates,All Buildings,,All,Swing,Any Service,4,Daily
Gates,All Buildings,,All,Graveyard,Any Service,2,Daily
Jet Bridges,All Buildings,,All,Day,Any Service,2,Daily
Jet Bridges,All Buildings,,All,Swing,Any Service,2,Daily
Jet Bridges,All Buildings,,All,Graveyard,Any Service,1,Daily
Restrooms,All Buildings,,All,Day,Any Service,1,Daily
Restrooms,All Buildings,,All,Swing,Any Service,1,Daily
Restrooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Religious Reflection,All Buildings,,All,Day,Any Service,1,Daily
Religious Reflection,All Buildings,,All,Swing,Any Service,2,Daily
Religious Reflection,All Buildings,,All,Graveyard,Any Service,1,Daily
Reception Areas,All Buildings,,All,Day,Any Service,1,Daily
Reception Areas,All Buildings,,All,Swing,Any Service,1,Daily
Reception Areas,All Buildings,,All,Graveyard,Any Service,1,Daily
Ramps,All Buildings,,All,Day,Any Service,1,Daily
Ramps,All Buildings,,All,Swing,Any Service,1,Daily
Pet Relief Areas,All Buildings,,All,Day,Any Service,3,Daily
Pet Relief Areas,All Buildings,,All,Swing,Any Service,3,Daily
Pet Relief Areas,All Buildings,,All,Graveyard,Any Service,1,Daily
People Movers,All Buildings,,All,Day,Any Service,2,Daily
People Movers,All Buildings,,All,Swing,Any Service,2,Daily
